#Equus;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
state_0;Everfree Forest;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_1;Canterlot;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_2;Ponyville;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_3;Coltfoalnia;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_4;Tall Tale;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_5;Vanhoover;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_6;Roe Plains;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_7;Mead Lake;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_8;Tall Woods;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_9;Twisted Tail Valley;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_10;White Tail Woods;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_11;Acornage;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_12;Diamond Lands;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_13;Fairflanks-Whitebell;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_14;West Yeahcon;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_15;Cloudsdale;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_16;Forgetmenot Meadows;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_17;Peachwoods;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_18;Oleander Valley;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_19;Honey Forest;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_20;East Yeahcon;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_21;Solside Plains;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_22;Neighkotas;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_23;Whinnysota;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_24;Las Pegasus;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_25;Aetherlands;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_26;North Trotsas;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_27;Central Trotsas;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_28;Canter Creek;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_29;South Trotsas;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_30;Doo Nidhaltinghoo;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_31;Arimaspi Territory;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_32;Tsoh Halgai;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_33;Appleloosa;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_34;Manehattan;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_35;Poninsula;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_36;Clear Skies;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_37;Fillydelphia;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_38;Welcoming Fields;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_39;Raspberry Fields;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_40;Neighagra-Trotterfield;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_41;Alicorn Sister;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_42;Rockville;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_43;Neighvada;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_44;Silent Sands;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_45;Even;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_46;Pastures;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_47;Boring Fields;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_48;Trotland;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_49;Hoofington;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_50;Comet Province;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_51;Sirius;;;;;;;;;;;;;;;;;;;;;;;;;;;
